Date,Open,High,Low,Close,Adj Close,Volume
4/18/2022,9.57,9.57,9.24,9.34,9.34,631600
4/19/2022,9.3,9.37,8.79,8.87,8.87,455500
4/20/2022,8.76,8.9,8.61,8.69,8.69,420300
4/21/2022,8.53,9.46,8.48,9.29,9.29,779700
4/22/2022,9.33,10.54,9.32,10.47,10.47,1059400
4/25/2022,10.57,11.11,10.18,10.23,10.23,1492000
4/26/2022,10.4,11.37,10.4,11.36,11.36,893000
4/27/2022,11.23,11.56,10.89,11.44,11.44,795800
4/28/2022,10.93,11.29,10.48,10.96,10.96,696700
4/29/2022,11.14,11.86,10.8,11.81,11.81,781700
5/2/2022,11.87,12.45,11.56,11.62,11.62,616900
5/3/2022,11.48,11.56,10.9,10.93,10.93,275200
5/4/2022,10.81,10.97,9.86,9.94,9.94,335000
5/5/2022,10.22,11.97,10.12,11.73,11.73,931100
5/6/2022,11.85,12.52,11.53,11.53,11.53,709900
5/9/2022,12.17,12.6,11.95,12.52,12.52,1021200
5/10/2022,11.84,12.55,11.84,12.06,12.06,599400
5/11/2022,12.14,12.26,11.47,11.99,11.99,399200
5/12/2022,12.21,12.44,11.7,11.76,11.76,471000
5/13/2022,11.36,11.45,11.02,11.03,11.03,384200
5/16/2022,10.96,11.03,10.58,10.58,10.58,246800
5/17/2022,10.21,10.51,10.16,10.31,10.31,219200
5/18/2022,10.6,11.86,10.5,11.83,11.83,567600
5/19/2022,12.01,12.08,11.02,11.05,11.05,426600
5/20/2022,10.73,11.92,10.68,11.07,11.07,550600
5/24/2022,11.14,11.49,10.91,11.03,11.03,390800
5/25/2022,11.12,11.16,10.63,10.73,10.73,230600
5/26/2022,10.61,10.67,10.49,10.66,10.66,93800
5/27/2022,10.4,10.48,10.21,10.21,10.21,160800
5/30/2022,10.19,10.34,10.02,10.03,10.03,340200
5/31/2022,10.41,10.66,10,10.08,10.08,285200
6/1/2022,9.88,10.5,9.84,9.98,9.98,408500
6/2/2022,10.01,10.05,9.61,9.78,9.78,224300
